video_id,video_title,video_published_at
fa9X-7dsAq4,Ravi Shastri picks favourite moments from #T20WorldCup 2024 👌#cricket #cricketreels #ICCReview,2024-08-05T13:35:18Z
wXy4Vq2A4LM,South Africa are eyeing off #T20WorldCup silverware 🏆  #cricket #ytshorts #cricketshorts,2024-06-28T15:41:04Z
rYf1sS-nKK0,Pakistan bring out the style and splendour 😎 #T20WorldCup #WhateverItTakes,2024-09-29T06:00:34Z
0PnH6MSCPjM,When a boot helped Australia to a #T20WorldCup 2010 victory 🏆 #YTShorts #CricketShorts,2024-09-24T03:05:19Z
r6KnjjfvfRo,"So close, yet so far for Nepal 💔#T20WorldCup #YTShorts #CricketShorts",2024-06-15T16:26:05Z
uN5Yn8PXvMA,Ireland have their game face on 🔛#Cricket #CricketShorts #YTShorts #T20WorldCup,2024-06-05T07:32:55Z
XNsRjFZNjJ0,India skipper Harmanpreet Kaur wears the predictor’s hat 🔮🎩#T20WorldCup #WhateverItTakes #ytshorts,2024-09-24T09:32:39Z
IoevRVNzTSA,Rising stars to watch out for during ICC Men&#39;s #T20WorldCup 2024 ⭐,2024-02-24T13:30:06Z
JE959-VJYJA,You can count on Nigar Sultana Joty for Bangladesh at the #T20WorldCup 👊 #YTShorts #CricketShorts,2024-09-19T06:30:38Z
ti92-GoRG9Q,Scotland&#39;s Kathryn Bryce was on 🔥 #cricket #cricketshorts  #ytshorts  #t20worldcup #cricketlover,2024-04-29T23:59:12Z
Dj9Ah22pXn8,Holding the #T20WorldCup trophy is a dream worth fighting for Harmanpreet Kaur💪#WhateverItTakes,2024-09-25T09:00:18Z
AvXPMUSXK6g,Brute power from Rilee Rossouw 💪 #cricket #cricketshorts #ytshorts #t20worldcup,2024-07-22T04:02:59Z
_zegt-vcFck,Ravi Shastri calls it – Rishabh Pant was India’s surprise package at #T20WorldCup 2024 😮 #Cricket,2024-07-31T11:25:34Z
shXcQytYKs0,Rilee Rossouw sizzles with quick-fire ton | T20 World Cup,2024-05-23T14:30:20Z
I8gh-2FmAiw,South Africa&#39;s pace ace Marizanne Kapp in action | WT20WC,2024-09-15T13:30:12Z
9Sf-igXoUGY,"Your new No.1 T20I All-Rounder, Liam Livingstone 😤 #YTShorts #CricketShorts",2024-09-19T03:39:26Z
LKCFPa5PbSg,A generation of world-class #T20WorldCup moments from Ellyse Perry 🙌 #YTShorts #CricketShorts,2024-09-16T05:23:09Z
bP0i3dvdoyk,Brute power from Mitch Marsh 💪 #cricket #ytshorts #cricketshorts #t20worldcup,2024-02-22T06:24:41Z
Y8z8F5eJUas,Elegance personified from Naseem Shah 😎 #cricket #cricketshorts #t20worldcup,2024-02-21T05:19:39Z
1AkzAtcfKMM,Melie Kerr is box office #T20WorldCup viewing 🍿 #YTShorts #CricketShorts,2024-09-20T00:45:58Z
SwWI7udDrdQ,"Ottneil Baartman, the man for pressure moments 👏#T20WorldCup #YTShorts #CricketShorts",2024-06-15T16:58:21Z
BNmmjvDI9cc,Classic Shaheen Afridi 🤩 #T20WorldCup #YTShorts,2024-06-16T15:33:05Z
SrMVD4g7mBo,Heather Knight in full flight 💥 #cricket #cricketshorts #ytshorts #t20worldcup,2024-07-18T02:40:06Z
g5PRWSEQ3mQ,An outfield stunner from Mohammed Siraj 😲 #cricket #cricketshorts #ytshorts #t20worldcup,2024-06-13T00:04:11Z
V95i8Bf4xIY,Heather Knight&#39;s starring century | WT20WC 2020,2024-09-09T05:57:00Z
Kssuzj1Bnsk,Anrich Nortje has the last laugh 🙌 #cricket #cricketshorts #ytshorts #t20worldcup,2024-06-20T01:24:40Z
Bn9DNoMIocg,Very lucky for Rahmanullah Gurbaz 👀 #cricket #cricketshorts #ytshorts #t20worldcup,2024-06-08T01:39:15Z
EtOvBc88WG0,Unbelievable from Jos Buttler 😮‍💨 #cricket #cricketshorts #ytshorts #t20worldcup,2024-06-22T00:25:38Z
Md58qgxARb4,Count the Ash Gardner wickets in this #T20WorldCup effort 🖐️ #YTShorts #CricketShorts,2024-09-18T06:31:45Z
qxrdHWl-VZw,When Hayley Matthews left Stafanie Taylor in awe during the 2016 #T20WorldCup Final 😲 #CricketShorts,2024-04-05T10:48:03Z
pWVpRAcEnT8,Stand and deliver from Travis Head 💥 #cricket #cricketshorts #ytshorts #t20worldcup,2024-07-24T02:28:34Z
r58kP4JneaE,South Africa&#39;s best yet to come? Ricky Ponting thinks so 😮 #t20worldcup #cricketshorts,2024-06-26T17:49:47Z
LoI8MPvjvEA,Out of this World EP. 1 | USA v CAN | T20WC 2024,2024-06-01T13:30:07Z
DTCUCAqhetc,Nigar Sultana Joty&#39;s Journey | WT20WC,2024-09-19T06:43:17Z
ZyYTmaNKP74,5️⃣0️⃣ #T20WorldCup wickets. Nine editions. One Shakib Al Hasan. #INDvBAN,2024-06-22T19:28:43Z
CADArZ53fdg,First 💯 by an Indian in T20Is! Suresh Raina 🙌 #Cricket #CricketShorts #YTShorts,2024-05-02T10:47:10Z
QBNKwOshWM4,Pakistan&#39;s opening #T20WorldCup games ➡️ Two epic final-ball thrillers 🤯 #ytshorts #cricketshorts,2024-06-07T18:20:01Z
3uKvZC7tdsE,Carlos Brathwaite’s heroics in the 2016 #T20WorldCup final with baseball-friendly commentary ⚾🏏,2024-04-04T14:52:39Z
DEkkeyUJb0A,Brute strength from Rovman Powell 💪 #cricket #cricketshorts #ytshorts #t20worldcup,2024-08-15T04:51:29Z
RVLgDBgiyTQ,Every Chris Gayle Six | T20 World Cup,2024-05-22T05:38:31Z
-_BZEiDF2hY,Sri Lanka v Thailand | Match Highlights | Women’s T20WC Qualifier 2024,2024-04-26T03:40:29Z
4stmNOSnGAI,The spinning Sophie Ecclestone is ready for #T20WorldCup 2024 🏏 #CricketShorts #YTShorts,2024-09-25T06:36:08Z
GDzSRQg_Si4,Dottin&#39;s record-breaking day | WT20WC 2018,2024-08-30T00:52:57Z
xWNQ0BK1ims,Power and finesse from Marcus Stoinis 🙌 #cricket #cricketshorts #ytshorts #t20worldcup,2024-06-16T06:27:25Z
3iH7kGjUFsM,Thailand v Scotland | Match Highlights | Women’s T20WC Qualifier 2024,2024-05-03T16:24:32Z
rNYnO2ERNiw,Laura Wolvaardt #T20WorldCup moments 🏏 #YTShorts #CricketShorts,2024-09-17T04:55:43Z
sNfzpP2KNpY,What does the future hold for Harmanpreet Kaur beyond the #T20WorldCup? 👀 #ytshorts #WhateverItTakes,2024-09-22T10:30:22Z
eEixgrNGeNQ,Yuvraj Singh smashing six 6s 🔥 #cricket #cricketshorts #t20worldcup,2024-02-22T16:10:19Z
tZVcoXWIZUs,Scotland are Bangladesh-bound for the Women&#39;s #T20WorldCup 2024 💪#cricket #cricketshorts #YTShorts,2024-05-05T17:34:08Z
RzPJhX7F0SU,Champions at the ICC Women&#39;s #T20WorldCup 2024 Qualifier 🤩 #cricket #cricketshorts #YTShorts,2024-05-07T19:50:09Z
q82GQQXWkbo,Safyaan Sharif 🤝 Cristiano Ronaldo  #T20WorldCup #cricket #cricketshorts #ytshorts,2024-06-10T07:00:01Z
